"CODE","ru"
"NAME","Русский"
"AVO_DESC","Настройте ваши транспортные средства (поддерживает Cities: Skylines 1.21.1-f9)."
"TRN_CHOICE","Выбрать язык"
"TRN_TOOLTIP","Выберите язык, используемый для этого мода. Требуется
перезапустить игру. (по умолчанию: язык игры)"
"TRN_SYS","Исп. язык игры"
"KEY_KEY","Горячие клавиши в игре"
"KEY_KEY_TT","Определите горячую клавишу для интерфейса AVO."
"KEY_PRS","Нажмите любую клавишу"
"AVO_OPT_GEN","Общие настройки"
"AVO_OPT_GEN_ASAVE","Включить автосохранение для данных о конфигурации транспорта"
"AVO_OPT_GEN_ASAVE_TT","Если включено, все изменения на транспорте будут сохранены
после ввода данных. (по умолчанию: включено)"
"AVO_OPT_GEN_DEBUG","Включить сообщения отладки"
"AVO_OPT_GEN_DEBUG_TT","Если включено, будут записаны отладочные сообщения (по умолчанию: включено)"
"AVO_OPT_GEN_GUI","Скрыть кнопку панели инструментов в игре"
"AVO_OPT_GEN_GUI_TT","Скрыть кнопку AVO на главной панели. Интерфейс AVO может быть
доступен с помощью горячей клавиши в любое время. (по умолчанию: отключено - показать UI)"
"AVO_OPT_GEN_SERVICE","Включить предупреждение для недоступных служб при загрузке карты"
"AVO_OPT_GEN_SERVICE_TT","Показывать предупреждение при запуске игры и городских служб
не имеют назначенного транспорта. (по умолчанию: включено)"
"AVO_OPT_BAL","Игра и баланс"
"AVO_OPT_BAL_UNITS","Показывать мили в час (мч/ч) вместо километра в час (км/ч)"
"AVO_OPT_BAL_UNITS_TT","Поменять отображение единицы скорости с миль/ч в км/ч.
(по умолчанию: отключено - использование км/ч)"
"AVO_OPT_BAL_EXT","Включить различные значения для не грузовых и не пассажирских транспорта"
"AVO_OPT_BAL_EXT_TT","Позволяет изменить скорость пожаротушения и мощность для пожарной безопасности,
Уровень преступности для полицейских машин, скорость обслуживания и прокачки
для автомобилей технического обслуживания. (по умолчанию: отключено)

Может нарушить баланс игрового процесса. Значения не документированы."
"AVO_OPT_COMP","Совместимость"
"AVO_OPT_COMP_MODS","Отображать предупреждения совместимости для модов"
"AVO_OPT_COMP_MODS_TT","Если включено, настройки, которые можно изменить в Improved Public Transport (от BloodyPenguin)
и Transport Lines Manager (от Klyte) будут отображаться красным цветом. Значения должны
редактировать только в этих модах. 

Если отключено, раскраска не будет отображаться. (по умолчанию: включено)"
"AVO_OPT_COMP_VCX","Перекрашивание Авто/Объекта: Приоритет над покраской автомобилей AVO"
"AVO_OPT_COMP_VCX_TT","Постоянная настройка, если активирована опция Vehicle Color Expander (к Klyte). 
Управление цветом управляется Vehicle Color Expander. Значения 
будут настроены в Vehicle/Asset Color Expander. (по умолчанию: постоянное включение)"
"AVO_OPT_COMP_NBT","Без больших грузовиков: классифицировать транспорт промышленных предприятий как крупные транспортные средства"
"AVO_OPT_COMP_NBT_TT","Если включено, грузовики с доставкой могут быть помечены как большие транспортные средства. Отправка 
будет заблокирована No Big Trucks (MacSergey). (по умолчанию: включено)"
"AVO_OPT_COMP_TRL","Последнее обновление ссылок на совместимость с прицепом для транспорта:"
"AVO_OPT_COMP_TRL_TT","Это поле показывает дату пересмотра перечня автомобилей автобуса, 
троллейбуса, прицепов для пожара и полицейских, которые находятся как
промышленные прицепы, но были переименованы в AVO."
"AVO_OPT_SUP","Поддержка"
"AVO_OPT_SUP_WIKI","Откройте Advanced Vehicle Options Wiki"
"AVO_OPT_SUP_XMLEDIT","Пакетное обновление - Редактор конфигурации XML"
"AVO_OPT_SUP_OPENXML","Откройте редактор конфигурации XML"
"AVO_OPT_SUP_LOG","Открыть папку Cities:Skylines с журналом (output_log.txt)"
"AVO_OPT_SUP_SET","Открыть папку с файлами конфигурации мода"
"AVO_OPT_SUP_SET_TT","Проверьте эти файлы для резервного копирования: 
Настройки мода - AdvancedVehicleOptions_Settings.xml
Данные транспорта мода - AdvancedVehicleOptions_VehicleData.xml"
"AVO_OPT_SUP_CROWDIN","Поддержка / Исправление переводов в Crowdin"
"AVO_MOD_CAPA","Вместимость: "
"AVO_MOD_BGUIDESC","Изменение различных свойств автомобиля"
"AVO_MOD_AV01","Ваша конфигурация была экспортирована. Конфигурационный файл можно найти здесь: "
"AVO_MOD_AV02","Следующие службы могут работать неправильно, поскольку нет возможности для появления автомобиля:"
"AVO_MOD_VO01","Противопожарная мощность: "
"AVO_MOD_VO02","Преступность: "
"AVO_MOD_VO03","Скорость перекачивания: "
"AVO_MOD_VO04","Пройденное расстояние: "
"AVO_MOD_VO05","Скорость рыболовли: "
"AVO_MOD_VO06","Неуказанная вместимость: "
"AVO_MOD_VO07","Пассажирская вместимость: "
"AVO_MOD_VO08","Грузовая вместимость: "
"AVO_MOD_VO09","Почтовая вместимость: "
"AVO_MOD_VO10","Потенциал обслуживания: "
"AVO_MOD_VO11","Количество пациентов: "
"AVO_MOD_VO12","Количество трупов: "
"AVO_MOD_VO13","Уровень преступности: "
"AVO_MOD_VO14","Скорость тушения пожара: "
"AVO_MOD_VO15","Эффективность: "
"AVO_MOD_CAT00","Весь транспорт"
"AVO_MOD_CAT01","Граждане - Автомобили"
"AVO_MOD_CAT02","Граждане - Велосипеды"
"AVO_MOD_CAT03","Промышленность - Лесоводство"
"AVO_MOD_CAT04","Промышленность - Земледелие"
"AVO_MOD_CAT05","Промышленность - Руда"
"AVO_MOD_CAT06","Промышленность - Нефть"
"AVO_MOD_CAT07","Промышленность - Рыболовство"
"AVO_MOD_CAT08","Промышленность - Доставка"
"AVO_MOD_CAT09","Промышленность - Фабрики"
"AVO_MOD_CAT10","Полиция"
"AVO_MOD_CAT11","Тюрьма"
"AVO_MOD_CAT12","Пожарная безопасность"
"AVO_MOD_CAT13","Служба спасения"
"AVO_MOD_CAT14","Здравоохранение"
"AVO_MOD_CAT15","Катафалки"
"AVO_MOD_CAT16","Мусор"
"AVO_MOD_CAT17","Перевозчик отходов"
"AVO_MOD_CAT18","Обслуживание"
"AVO_MOD_CAT19","Почтовая служба"
"AVO_MOD_CAT20","Банковские службы"
"AVO_MOD_CAT21","Автобус"
"AVO_MOD_CAT22","Междугородний автобус"
"AVO_MOD_CAT23","Троллейбус"
"AVO_MOD_CAT24","Такси"
"AVO_MOD_CAT25","Метро"
"AVO_MOD_CAT26","Трамвай"
"AVO_MOD_CAT27","Монорельс"
"AVO_MOD_CAT28","Фуникулер"
"AVO_MOD_CAT29","Поезд - Груз"
"AVO_MOD_CAT30","Поезд - Пассажир"
"AVO_MOD_CAT31","Корабль - грузовой"
"AVO_MOD_CAT32","Корабль - Круиз"
"AVO_MOD_CAT33","Корабль - Каргопаты"
"AVO_MOD_CAT34","Корабль - Пассажир"
"AVO_MOD_CAT35","Самолет - Груз"
"AVO_MOD_CAT36","Самолет - Пассажир"
"AVO_MOD_CAT37","Вертолет - Грузовой"
"AVO_MOD_CAT38","Вертолет - пассажир"
"AVO_MOD_CAT39","Дирижабль"
"AVO_MOD_CAT40","Локальное воздушное сообщение"
"AVO_MOD_CAT41","Туризм + Экскурсии"
"AVO_MOD_CAT42","Гоночные автомобили и парады"
"AVO_MOD_CAT43","Гоночные велосипеды"
"AVO_MOD_CAT44","Космодром"
"AVO_MOD_CAT45","Катастрофы"
"AVO_MOD_MP45","Введите название типа автомобиля"
"AVO_MOD_MP46","Действия для конфигурации автомобиля:"
"AVO_MOD_MP47","Импорт"
"AVO_MOD_MP48","Загрузить существующую конфигурацию автомобиля"
"AVO_MOD_MP49","Экспорт"
"AVO_MOD_MP50","Сохраните текущую конфигурацию автомобиля"
"AVO_MOD_MP51","Сбросить всё"
"AVO_MOD_MP52","Сбросить полностью конфигурацию"
"AVO_MOD_MP53","Данные автомобилей -
Авто сохранение активно"
"AVO_MOD_MP54","Авто сохранение данных конфигурации автомобилей включено. Все изменения
будут немедленно сохранены во внешнем файле конфигурации."
"AVO_MOD_MP55","Нажмите здесь, чтобы перейти к существующим автомобилям этого типа.
Удерживайте клавишу Shift, чтобы перейти к автомобилю."
"AVO_MOD_MP56","Нажмите здесь, чтобы удалить выбранный автомобиль."
"AVO_MOD_MP57","Подтвердить сброс конфигурации"
"AVO_MOD_MP58","Настраиваемые настройки для всех автомобилей будут сброшены. Перейти к сбросу настроек?"
"AVO_MOD_MP59","Все настройки и настройки автомобиля были сброшены по умолчанию."
"AVO_MOD_MP60","Поиск:"
"AVO_MOD_MP61","Категория:"
"AVO_MOD_MP62","Выберите категорию автомобилей для отображения 

Подсказка: Используйте колесо мыши для перехода между категориями быстрее."
"AVO_MOD_OP01","км/ч"
"AVO_MOD_OP02","миль/ч"
"AVO_MOD_OP03"," Внимание: Improved Public Transport включен и может переопределить этот параметр."
"AVO_MOD_OP04"," Внимание: Transport Lines Manager включен и может переопределить этот параметр."
"AVO_MOD_OP05","Действия для: "
"AVO_MOD_OP06","Максимальная скорость: "
"AVO_MOD_OP07","Измените максимальную скорость автомобиля. Пожалуйста, обратите внимание, что автомобили
не будут выходить за пределы скорости дорог, которую они используют."
"AVO_MOD_OP08","Ускорение/торможение/поворот: "
"AVO_MOD_OP09","Изменение коэффициента ускорения автомобиля.
Определяет, насколько быстро автомобиль ускоряется."
"AVO_MOD_OP10","Изменение коэффициента торможения автомобиля.
Определяет, насколько быстро тормозит автомобиль."
"AVO_MOD_OP11","Изменение коэффициента поворота автомобиля.
Определяет, насколько хорошо поворачивает автомобиль."
"AVO_MOD_OP12","Пружины/Амортизаторы"
"AVO_MOD_OP13","Изменение коэффициента пружины автомобиля.
Определяет, насколько сжимается подвеска."
"AVO_MOD_OP14","Изменение коэффициента амортизатора.
Определяет, как быстро приостановка возвращает стандартное состояние."
"AVO_MOD_OP15","Множитель наклона/кивания: "
"AVO_MOD_OP16","Изменение коэффициента наклона автомобиля.
Определяет, насколько автомобиль наклоняется в стороны при повороте."
"AVO_MOD_OP17","Изменение коэффициента кивка автомобиля.
Определяет, насколько автомобиль кивает вперед/назад при торможении или ускорении."
"AVO_MOD_OP18","Включить цветовую вариацию:"
"AVO_MOD_OP19","Включить вариации цвета автомобилей.
Случайный цвет выбирается между четырьмя следующими цветами для автомобилей."
"AVO_MOD_OP20","Цвета управляются с помощью Vehicle/Asset Color Expander"
"AVO_MOD_OP21","Позволить автомобилю появляться"
"AVO_MOD_OP22","Убедитесь, что хотя бы один автомобиль
разрешен для этой категории."
"AVO_MOD_OP23","Заменить последний автомобиль с двигателем"
"AVO_MOD_OP24","Сделать последний вагон этого поезда двигателем."
"AVO_MOD_OP25","Пометить как Дальнобойщика"
"AVO_MOD_OP26","Предотвратите доставку грузовиков с прицепом в небольшие здания.
Эта функция контролируется модом «No Big Trucks»."
"AVO_MOD_OP27","Изменить вместимость автомобиля."
"AVO_MOD_OP28","Особая вместимость: "
"AVO_MOD_OP29","Изменение специальных параметров автомобиля."
"AVO_MOD_OP30","Если вы не знаете, что это значит:
Не трогайте его! Проверьте руководство по: Special Capacity."
"AVO_MOD_OP31","Управление появлением в транспортном маршруте"
"AVO_MOD_OP32","Откройте транспортные маршруты
и управляйте появлением автомобиля."
"AVO_MOD_OP33","Перейти к руководству пользователя: Spawn Control"
"AVO_MOD_OP34","Автобусные прицепы находятся под контролем головного автобуса.
Настройки должны быть настроены на панели транспортных маршрутов."
"AVO_MOD_OP35","Базовое значение"
"AVO_MOD_OP36","Восстановить все правила по умолчанию"
"AVO_MOD_OP37","Общее действие для: "
"AVO_MOD_OP38","Убрать едущих"
"AVO_MOD_OP39","Убрать всех едущих автомобилей этого типа.
Удерживайте клавишу SHIFT, чтобы убрать все типы."
"AVO_MOD_OP40","Удалить припаркованные"
"AVO_MOD_OP41","Убрать всех припаркованных автомобилей этого типа.
Удерживайте клавишу SHIFT, чтобы убрать все типы."
"AVO_MOD_OP42"," может работать неправильно, потому что ни один из транспортов не может появляться."
"AVO_MOD_OP43","Размер терминала: "
"AVO_MOD_OP44","Малый"
"AVO_MOD_OP45","Средний"
"AVO_MOD_OP46","Большой"
"AVO_MOD_OP47","Груз"
"AVO_MOD_OP48","Синхронизировать движок
с прицепом"
"AVO_MOD_OP49","Если включено"," the engine properties are synchronize to all trailers."
"AVO_MOD_OP50","Выделение определяет размер позиции подставки."
"AVO_MOD_OP51","Кликните для Руководства Пользователя: Здания Городской службы созданы только обычные автомобили"
"AVO_MOD_WM01","Предупреждение"
"AVO_OPT_SYNC","Запомнить настройки синхронизации движка/прицепа"
"AVO_OPT_SYNC_TT","Если этот параметр включен, настройка синхронизации между движком/прицепами будет
запоминаться, иначе синхронизируется только один раз. (по умолчанию: отключена)"
