"CODE","zh_CN"
"NAME","简体中文"
"AVO_DESC","自定义你的车辆（支持 Cities: Skylines 1.21.1-f9）"
"TRN_CHOICE","选择语言"
"TRN_TOOLTIP","选择用于此模组的语言。将需要
重启游戏。(默认：使用游戏语言)"
"TRN_SYS","使用游戏语言"
"KEY_KEY","快捷键"
"KEY_KEY_TT","为AVO模组设置快捷键"
"KEY_PRS","按任意键"
"AVO_OPT_GEN","常规设置"
"AVO_OPT_GEN_ASAVE","自动保存车辆参数"
"AVO_OPT_GEN_ASAVE_TT","若启用，任何对车辆参数的改动会被立刻保存（默认：启用）"
"AVO_OPT_GEN_DEBUG","启用调试信息日志记录"
"AVO_OPT_GEN_DEBUG_TT","若启用，模组的调试信息会被写入日志（默认：启用）"
"AVO_OPT_GEN_GUI","隐藏游戏内工具栏按钮"
"AVO_OPT_GEN_GUI_TT","从主菜单上隐藏工具按钮。AVO面板可以通过快捷键呼出（默认：禁用 - 显示工具按钮）"
"AVO_OPT_GEN_SERVICE","启用加载地图时无可用服务警告"
"AVO_OPT_GEN_SERVICE_TT","在加载时显示城市服务无任何车辆的警告（默认：启用）"
"AVO_OPT_BAL","游戏与平衡"
"AVO_OPT_BAL_UNITS","显示英里表（Mph）而非公里表（Km/H）"
"AVO_OPT_BAL_UNITS_TT","速度显示由公里表改为英里表（默认：禁用 - 使用公里表）"
"AVO_OPT_BAL_EXT","启用非客运与非货运车辆多样化参数设置"
"AVO_OPT_BAL_EXT_TT","允许更改消防车的灭火速率和载水量、警车的犯罪处理容量，以及维护车辆的维护速率和抽水速率。（默认：禁用）
可能会破坏游戏原有的平衡性。具体数值未作说明。"
"AVO_OPT_COMP","兼容性"
"AVO_OPT_COMP_MODS","显示模组兼容问题警告"
"AVO_OPT_COMP_MODS_TT","若启用，任何可能被 IPT（BloodyPenguin）和 TLM（Klyte45）模组更改的参数用红色标出。这些数值仅应该用以上模组修改。若禁用，不会标记任何数值（默认：启用）"
"AVO_OPT_COMP_VCX","ACE（Asset Color Expander，Klyte45）模组优先于AVO修改车辆颜色"
"AVO_OPT_COMP_VCX_TT","永久设置，仅在ACE启用时有效。车辆颜色受ACE控制（默认：永久启用）"
"AVO_OPT_COMP_NBT","NBC（No Big Trucks，MacSergey）标记通用工业车辆为大型车辆"
"AVO_OPT_COMP_NBT_TT","若启用，送货卡车会标记为大型车辆，NBC模组会限制车辆使用（默认：启用）"
"AVO_OPT_COMP_TRL","挂车兼容性参照表更新日期："
"AVO_OPT_COMP_TRL_TT","该字段显示车辆列表的最后更新日期，包括公交车、无轨电车、消防与警用挂车，默认标记为工业车辆但是已经由AVO归类"
"AVO_OPT_SUP","帮助"
"AVO_OPT_SUP_WIKI","打开AVO百科"
"AVO_OPT_SUP_XMLEDIT","批量更新 - XML 配置编辑器"
"AVO_OPT_SUP_OPENXML","打开 XML 配置编辑器"
"AVO_OPT_SUP_LOG","打开天际线日志文件夹（output_log.txt）"
"AVO_OPT_SUP_SET","打开模组配置文件文件夹"
"AVO_OPT_SUP_SET_TT","检查如下文件的备份：
模组设置：AdvancedVehicleOptions_Settings.xml
车辆数据：AdvancedVehicleOptions_VehicleData.xml"
"AVO_OPT_SUP_CROWDIN","支持 / 在 Crowdin 上修正翻译"
"AVO_MOD_CAPA","容量："
"AVO_MOD_BGUIDESC","更改各种车辆属性"
"AVO_MOD_AV01","你的配置已导出。配置文件可以在这里找到："
"AVO_MOD_AV02","如下服务可能由于无任何可生成的车辆而无法正常工作"
"AVO_MOD_VO01","消防容量："
"AVO_MOD_VO02","犯罪容量："
"AVO_MOD_VO03","抽水速率："
"AVO_MOD_VO04","行动距离："
"AVO_MOD_VO05","捕捞速率："
"AVO_MOD_VO06","未指定容量："
"AVO_MOD_VO07","载客量："
"AVO_MOD_VO08","载货量："
"AVO_MOD_VO09","邮件容量："
"AVO_MOD_VO10","维护容量："
"AVO_MOD_VO11","病人容量"
"AVO_MOD_VO12","遗体容量："
"AVO_MOD_VO13","犯罪容量速率："
"AVO_MOD_VO14","消防速率"
"AVO_MOD_VO15","效率："
"AVO_MOD_CAT00","全部车辆"
"AVO_MOD_CAT01","公民 - 车辆"
"AVO_MOD_CAT02","公民 - 自行车"
"AVO_MOD_CAT03","工业 - 林业"
"AVO_MOD_CAT04","工业 - 农业"
"AVO_MOD_CAT05","工业 - 矿业"
"AVO_MOD_CAT06","工业 - 石油"
"AVO_MOD_CAT07","工业 - 渔业"
"AVO_MOD_CAT08","工业 - 配送"
"AVO_MOD_CAT09","工业 - 独特工厂"
"AVO_MOD_CAT10","警察"
"AVO_MOD_CAT11","监狱"
"AVO_MOD_CAT12","消防"
"AVO_MOD_CAT13","应急响应"
"AVO_MOD_CAT14","医疗"
"AVO_MOD_CAT15","遗体处理"
"AVO_MOD_CAT16","垃圾"
"AVO_MOD_CAT17","垃圾运输"
"AVO_MOD_CAT18","维护"
"AVO_MOD_CAT19","邮政"
"AVO_MOD_CAT20","银行服务"
"AVO_MOD_CAT21","公交"
"AVO_MOD_CAT22","城际公交"
"AVO_MOD_CAT23","无轨电车"
"AVO_MOD_CAT24","出租车"
"AVO_MOD_CAT25","地铁"
"AVO_MOD_CAT26","有轨电车"
"AVO_MOD_CAT27","单轨列车"
"AVO_MOD_CAT28","缆车"
"AVO_MOD_CAT29","火车 - 货运"
"AVO_MOD_CAT30","火车 - 客运"
"AVO_MOD_CAT31","船只 - 货运"
"AVO_MOD_CAT32","船只 - 游轮"
"AVO_MOD_CAT33","船只 - 货运渡船"
"AVO_MOD_CAT34","飞船-乘客渡船"
"AVO_MOD_CAT35","飞机 - 货运"
"AVO_MOD_CAT36","飞机 - 客运"
"AVO_MOD_CAT37","直升机-货物"
"AVO_MOD_CAT38","直升机 - 客运)"
"AVO_MOD_CAT39","飞艇"
"AVO_MOD_CAT40","本地航空运输"
"AVO_MOD_CAT41","旅游"
"AVO_MOD_CAT42","赛车和游行"
"AVO_MOD_CAT43","赛车自行车"
"AVO_MOD_CAT44","发射场"
"AVO_MOD_CAT45","自然灾害"
"AVO_MOD_MP45","输入车辆名称"
"AVO_MOD_MP46","对车辆配置的操作："
"AVO_MOD_MP47","导入"
"AVO_MOD_MP48","加载现存的车辆配置"
"AVO_MOD_MP49","导出"
"AVO_MOD_MP50","保存当前车辆配置"
"AVO_MOD_MP51","重置全部"
"AVO_MOD_MP52","重置全部配置"
"AVO_MOD_MP53","已启用自动保存"
"AVO_MOD_MP54","车辆配置自动保存已启用，任何更改均会被保存至外部配置文件"
"AVO_MOD_MP55","点此处浏览现存的此类车辆，按住Shift聚焦到车辆"
"AVO_MOD_MP56","点击此处移除被选中的车辆"
"AVO_MOD_MP57","确定重置配置"
"AVO_MOD_MP58","自定义的全部车辆参数会被重置。你确定要继续吗？"
"AVO_MOD_MP59","全部车辆配置已经重置为默认配置"
"AVO_MOD_MP60","搜索："
"AVO_MOD_MP61","类别："
"AVO_MOD_MP62","选中一个车辆类别显示 - 提示：鼠标滚轮可以快速切换"
"AVO_MOD_OP01","km/h"
"AVO_MOD_OP02","mph"
"AVO_MOD_OP03","警告：IPT 已启用，该参数可能被覆写"
"AVO_MOD_OP04","警告：TLM 已启用，该参数可能被覆写"
"AVO_MOD_OP05","操作："
"AVO_MOD_OP06","最高速度："
"AVO_MOD_OP07","更改车辆最高速度。请注意，车辆不会超过路网限速"
"AVO_MOD_OP08","加速/刹车/转向："
"AVO_MOD_OP09","更改车辆加速因子。
定义车辆提速速率。"
"AVO_MOD_OP10","更改车辆刹车因子。
定义车辆刹车速率。"
"AVO_MOD_OP11","更改车辆转向因子。
定义车辆转向速率。"
"AVO_MOD_OP12","悬挂/阻尼"
"AVO_MOD_OP13","更改车辆悬挂因子。
定义车辆悬挂行程。"
"AVO_MOD_OP14","更改车辆阻尼因子。
定义车辆恢复平稳速率。"
"AVO_MOD_OP15","侧倾/俯仰比例："
"AVO_MOD_OP16","更改车辆侧倾因子。
定义车辆转向时侧倾角度。"
"AVO_MOD_OP17","更改车辆俯仰因子。
定义车辆加减速时俯仰角度。"
"AVO_MOD_OP18","启用色彩变化："
"AVO_MOD_OP19","启用色彩变化：
车辆会随机选择如下4种颜色"
"AVO_MOD_OP20","颜色由ACE模组控制"
"AVO_MOD_OP21","允许生成该车辆"
"AVO_MOD_OP22","请确保每项中至少有一辆车允许生成"
"AVO_MOD_OP23","更改末尾车厢为牵引车头"
"AVO_MOD_OP24","更改这列火车的最后一节为牵引车头"
"AVO_MOD_OP25","标记为大型车"
"AVO_MOD_OP26","禁止带挂车的车辆向小型建筑运送货物，该内容由NBC模组控制"
"AVO_MOD_OP27","更改车辆容量"
"AVO_MOD_OP28","特殊容量："
"AVO_MOD_OP29","更改该车辆的特定参数"
"AVO_MOD_OP30","如果你不知道这项参数的作用：
不要修改！点击查看使用指南：特殊容量"
"AVO_MOD_OP31","在TLM界面修改车辆生成规则"
"AVO_MOD_OP32","打开交通线路面板并管理车辆生成"
"AVO_MOD_OP33","点击查看指南：生成控制"
"AVO_MOD_OP34","公交车挂车生成由其牵引车控制。设置必需通过交通线路面板更改"
"AVO_MOD_OP35","默认参数"
"AVO_MOD_OP36","重置全部数值为默认值"
"AVO_MOD_OP37","全局操作："
"AVO_MOD_OP38","移除行驶中的车辆"
"AVO_MOD_OP39","移除全部选中类型的行驶中的车辆。按住Shift移除全部类型"
"AVO_MOD_OP40","移除停靠车辆"
"AVO_MOD_OP41","移除全部选中类型的停靠的车辆，按住Shift移除全部类别"
"AVO_MOD_OP42","服务可能无法正常工作因为禁止了任何车辆生成"
"AVO_MOD_OP43","机位大小："
"AVO_MOD_OP44","小型"
"AVO_MOD_OP45","中型"
"AVO_MOD_OP46","大型"
"AVO_MOD_OP47","货机"
"AVO_MOD_OP48","同步牵引车与挂车"
"AVO_MOD_OP49","如果已启用"," the engine properties are synchronize to all trailers."
"AVO_MOD_OP50","选择定义机位位置大小"
"AVO_MOD_OP51","点击查看用户指南：城市服务建筑只会生成原版车辆"
"AVO_MOD_WM01","警告"
"AVO_OPT_SYNC","记住牵引车/挂车同步设置"
"AVO_OPT_SYNC_TT","若启用，会记住牵引车/挂车之间的同步设置，反之同步设置仅为单次有效（默认关闭）"
